0	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.001000	28.7193
1	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.002500	29.658
2	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.004000	30.6593
3	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.005500	31.7307
4	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.007000	32.8816
5	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.008500	34.1232
6	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.010000	35.4693
7	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.011500	36.9374
8	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.013000	38.5498
9	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.014500	40.3356
10	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.016000	42.3338
11	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.017500	44.5989
12	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.019000	47.2088
13	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.020500	50.2807
14	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.022000	500
15	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.023500	500
16	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.025000	500
17	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.026500	500
18	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.028000	500
19	 [2, 16, 15, 6, 3, 11, 5, 10, 4, 9, 1, 7, 14, 8, 12, 13] 	 0.029500	500
